Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,642032,11/13/2024,National Grid,Cold Brook,Herkimer,13324,017-Utica,,,Battery,Jason Tyler (J&A Electrical Construction LLC),NM,9,POINT (-75.03867 43.24187)
12/31/2025,16216,07/14/2020,NYSEG,Chatham,Columbia,12037,Mechanicville,NYS-CHATHAM 156,1203606,Battery,SunCommon,NM,5.8,POINT (-73.59502 42.36373)
12/31/2025,PAM-2021-163006,05/12/2022,PSEGLI,C MORICHES,Suffolk,11934,,1384,9038,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-72.78966 40.80006)
12/31/2025,DGINT-08191,03/26/2019,O&R,STONY POINT,Rockland,10980,EAST,Stony Point,23-1-13,Battery,SolarCity,NM,10,POINT (-74.00764 41.23448)
12/31/2025,PAM-2024-377335,05/30/2024,PSEGLI,E NORTHPORT,Suffolk,11731,,292,8002,Battery,Harvest Power LLC,NM,5,POINT (-73.31146 40.87931)
12/31/2025,17917,11/08/2021,NYSEG,Craryville,Columbia,12521,Mechanicville,NYS-CRARYVILLE 611,1204003,Battery,Kasselman Solar,NM,11,POINT (-73.62149 42.15723)
12/31/2025,CH-10654,04/23/2019,Central Hudson,Bearsvl,Ulster,12409,Kingston,Woodstock,3012,Battery,SolarCity DBA Tesla,,5,POINT (-74.15843 42.05808)
12/31/2025,PAM-2019-63790,08/30/2019,PSEGLI,Huntington,Suffolk,11743,,54,4651,Battery,TESLA,NM,5,POINT (-73.42913 40.8722)
12/31/2025,CH-16477,06/28/2023,Central Hudson,Pine Plains,Dutchess,12567,Poughkeepsie,Pulvers Corners,7091,Battery,Lighthouse Solar,NM,7.68,POINT (-73.65772 41.98002)
12/31/2025,SDG-28553,02/22/2021,Con Ed,Ardsley,Westchester,10502,CENY-W,Elmsford No. 2,12W95,Battery,SolarCity,NM,15,POINT (-73.84802 41.01179)
